ts,cfg,epoch,bodies_mean,n_bodies,peak_mib,total_peak_mib
1788537803,rtg_e31_s3,95,11.95,12,3864,9856
1788537929,rtg_e31_s2,89,16.1,16,6844,12944
1788537929,rtg_e31_s3,96,11.85,11,5766,12944
1788538055,rtg_e31_s2,90,15.7,16,6844,12706
1788538055,rtg_e31_s3,97,11.65,11,6678,12706
1788538182,rtg_e31_s2,91,16.5,16,8200,15210
1788538182,rtg_e31_s3,98,12.2,11,6678,15210
1788538309,rtg_e31_s2,93,16.6,16,8200,12180
1788538309,rtg_e31_s3,99,11.9,12,4820,12180
1788538437,rtg_e31_s2,93,16.6,16,6964,12180
1788538437,rtg_e31_s3,99,11.9,12,5782,12180
1788538563,rtg_e31_s2,95,16.75,16,5728,11906
1788538563,rtg_e31_s3,101,12.05,11,5782,11906
1788538691,rtg_e31_s2,95,16.75,16,5712,10964
1788538691,rtg_e31_s3,101,12.05,11,4856,10964
1788538820,rtg_e31_s2,96,17.3,16,8354,14536
1788538820,rtg_e31_s3,102,12.1,11,5786,14536
1788538947,rtg_e31_s2,97,17.1,16,8354,14536
1788538947,rtg_e31_s3,103,11.95,11,5786,14536
1788539074,rtg_e31_s2,98,17.45,16,7140,11430
1788539074,rtg_e31_s3,103,11.95,11,3894,11430
1788539200,rtg_e31_s2,98,17.45,16,4462,9670
1788539200,rtg_e31_s3,104,12.0,11,4812,9670
1788539327,rtg_e31_s2,99,17.55,17,5834,11054
1788539327,rtg_e31_s3,105,12.2,11,4824,11054
1788539456,rtg_e31_s2,100,18.05,17,5912,12088
1788539456,rtg_e31_s3,106,12.2,12,5780,12088
1788539582,rtg_e31_s2,100,18.05,17,5912,12088
1788539582,rtg_e31_s3,107,12.3,11,5780,12088
1788539709,rtg_e31_s2,101,17.95,18,6014,11236
1788539709,rtg_e31_s3,107,12.3,11,4826,11236
1788539837,rtg_e31_s2,102,17.7,18,7306,13468
1788539837,rtg_e31_s3,108,11.75,12,5766,13468
1788539964,rtg_e31_s2,103,17.95,18,7424,13468
1788539964,rtg_e31_s3,108,11.75,12,5766,13468
1788540091,rtg_e31_s2,104,18.05,18,7424,11228
1788540091,rtg_e31_s3,109,11.9,12,4850,11228
1788540218,rtg_e31_s2,105,18.05,18,5984,12134
1788540218,rtg_e31_s3,110,12.15,12,5794,12134
1788540345,rtg_e31_s2,106,18.05,17,7354,13544
1788540345,rtg_e31_s3,111,12.05,11,5794,13544
1788540472,rtg_e31_s2,107,17.85,17,6268,10930
1788540472,rtg_e31_s3,112,11.95,12,5770,10930
1788540601,rtg_e31_s2,107,17.85,17,7400,12652
1788540601,rtg_e31_s3,113,12.15,12,4856,12652
1788540728,rtg_e31_s2,109,18.05,17,7400,12652
1788540728,rtg_e31_s3,114,12.15,12,4856,12652
