ts,cfg,pid,mib,total_mib,bodies_mean,motors_mean,epoch
1788652974,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652974,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652979,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652979,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652985,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652985,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652990,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652990,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652995,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652995,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653000,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653000,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653005,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653005,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653010,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653010,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653016,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653016,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653021,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653021,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653026,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653026,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653031,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653031,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653036,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788653036,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788653041,rtg_e4r_s1,694927,7916,11158,19.45,9.25,12
1788653041,rtg_e4r_s2,695070,2846,11158,18.55,9.45,13
1788653047,rtg_e4r_s1,694927,7916,11158,19.45,9.25,12
1788653047,rtg_e4r_s2,695070,2846,11158,18.55,9.45,13
1788653052,rtg_e4r_s1,694927,7916,11158,19.45,9.25,12
1788653052,rtg_e4r_s2,695070,2846,11158,18.55,9.45,13
1788653057,rtg_e4r_s1,694927,7916,11158,19.45,9.25,12
